number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000045,New,true,0,0,0,true,Caller 2403,Opened by  8,29/2/2016 01:16,Created by 6,29/2/2016 01:23,Updated by 21,29/2/2016 01:23,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 149,29/2/2016 11:29,5/3/2016 12:00
INC0000045,Resolved,true,0,0,2,true,Caller 2403,Opened by  8,29/2/2016 01:16,Created by 6,29/2/2016 01:23,Updated by 642,29/2/2016 08:53,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 149,29/2/2016 11:29,5/3/2016 12:00
INC0000045,Resolved,true,0,0,3,true,Caller 2403,Opened by  8,29/2/2016 01:16,Created by 6,29/2/2016 01:23,Updated by 804,29/2/2016 11:29,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 149,29/2/2016 11:29,5/3/2016 12:00
INC0000045,Closed,false,0,0,4,true,Caller 2403,Opened by  8,29/2/2016 01:16,Created by 6,29/2/2016 01:23,Updated by 908,5/3/2016 12:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 149,29/2/2016 11:29,5/3/2016 12:00
INC0000047,New,true,0,0,0,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 746,29/2/2016 04:57,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 89,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Active,true,1,0,1,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 21,29/2/2016 05:30,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Active,true,1,0,2,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 21,29/2/2016 05:33,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Active,true,1,0,3,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 804,29/2/2016 11:31,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Active,true,1,0,4,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 703,29/2/2016 11:32,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Active,true,1,0,5,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 332,1/3/2016 09:14,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 31,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Awaiting User Info,true,1,0,6,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 332,1/3/2016 09:14,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Resolved,true,1,0,7,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 332,1/3/2016 09:52,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000047,Closed,false,1,0,8,true,Caller 2403,Opened by  397,29/2/2016 04:40,Created by 171,29/2/2016 04:57,Updated by 908,6/3/2016 10:00,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,true,false,Do Not Notify,?,?,?,?,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00
INC0000057,New,true,0,0,0,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,29/2/2016 06:26,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000057,New,true,0,0,1,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,29/2/2016 06:38,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000057,New,true,0,0,2,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 451,29/2/2016 10:06,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000057,New,true,0,0,3,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,1/3/2016 02:53,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000057,New,true,0,0,4,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,1/3/2016 02:54,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000057,Resolved,true,0,0,5,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,1/3/2016 02:55,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,true,false,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000057,Closed,false,0,0,6,true,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 908,6/3/2016 03:00,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,true,false,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00
INC0000060,New,true,0,0,0,true,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 340,29/2/2016 06:42,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,true,false,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/2016 12:06,7/3/2016 13:00
INC0000060,Active,true,0,0,1,true,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 465,2/3/2016 08:52,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,true,false,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/2016 12:06,7/3/2016 13:00
INC0000060,Resolved,true,0,0,2,true,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 465,2/3/2016 12:06,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,true,false,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/2016 12:06,7/3/2016 13:00
INC0000060,Closed,false,0,0,3,true,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 908,7/3/2016 13:00,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,true,false,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/2016 12:06,7/3/2016 13:00
INC0000062,New,true,0,0,0,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 340,29/2/2016 07:26,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,New,true,0,0,1,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 340,29/2/2016 07:29,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,New,true,1,0,2,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 340,29/2/2016 07:34,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,New,true,1,0,3,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 804,29/2/2016 11:23,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,New,true,1,0,4,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 804,29/2/2016 11:28,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,New,true,1,0,5,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 241,29/2/2016 15:51,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,Resolved,true,1,0,6,true,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 241,29/2/2016 15:51,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000062,Closed,false,1,0,7,false,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 908,5/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00
INC0000063,New,true,0,0,0,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 340,29/2/2016 07:17,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,New,true,0,0,1,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 340,29/2/2016 07:23,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,New,true,0,0,2,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 340,29/2/2016 07:27,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,New,true,0,0,3,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 60,29/2/2016 07:46,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,New,true,1,0,4,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 60,29/2/2016 07:46,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,New,true,1,0,5,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 241,29/2/2016 16:01,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,Resolved,true,1,0,6,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 241,29/2/2016 16:01,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000063,Closed,false,1,0,7,true,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 908,5/3/2016 17:00,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,true,false,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00
INC0000064,New,true,0,0,0,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 265,29/2/2016 07:14,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,New,true,0,0,1,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 265,29/2/2016 07:16,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,Active,true,0,0,2,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 723,29/2/2016 13:12,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,Active,true,1,0,3,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 723,29/2/2016 13:13,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,?,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,Active,true,1,0,4,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,2/3/2016 09:17,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
INC0000064,Active,true,1,0,5,true,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,2/3/2016 12:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,true,false,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00
